LEI ,Financial Institution,,Need Financial Institutions
5493005MZZDC38IUOJ34,WATER AND POWER COMMUNITY,,
549300PEQH6YK4DH0490,FRONTWAVE,,
549300PF7FXUS77FZ779,DEER VALLEY Credit Union,,
5493002IVUY1DY0ZCL83,Canyon State Credit Union,,
549300S1ULK3TJQ8I652,FIRST CITY,,
549300L7HZ4C5U35BO37,INTOUCH CREDIT UNION,,
254900SJMHCSRQOMRK11,California Bear Credit Union,,
549300WOW2HLRVN4O324,COMMUNITY 1ST CREDIT UNION,,
549300CA0J0Z7OFQBG71,CONNEX CREDIT UNION,,
549300XHF3PMRO08N352,VERITY,,
5493001HOQL7ZEKTRZ55,GREAT PLAINS,,
549300L44U62O7WHRR78,FIRST COMMUNITY,,
549300QIUZLVR1OLDH55,GENISYS,,
254900S7X9G17L8QBB81,PremierOne Credit Union,,
549300SNBYRUG0BK5T32,KH NETWORK CREDIT UNION,,
549300Z4HQ7YDKUVEW39,VANTAGE WEST,,
2549004IXUWDS2CYU578,TVA Community Credit Union,,
5493009NZUFSRFRWTY71,Red Rocks Credit Union,,
549300WYRD3CZ6KH1N11,CREDIT UNION OF OHIO,,
254900IHSZUFLA4J1Q14,Down East Credit Union,,
254900SDKW7UUIPA6O65,Viriva Community Credit Union,,
54930067MGJBFNEN1P47,ELEVATIONS,,
549300HWQV4ZV6WMCK88,AMERICAN SOUTHWEST,,
549300STHIK6SGJQIY70,CREDIT UNION OF GEORGIA,,
549300U620B2MZKUUZ24,Emory Alliance Credit Union,,
549300MH5OXXJKWZZY83,GENERAL ELECTRIC CREDIT UNION,,
549300B8JSCK4ZNVX087,MAX Credit Union,,
549300YEI60WAHWQ3110,KITSAP Credit Union,,
549300F175WFRUKLMG10,INDIANA UNIVERSITY CREDIT UNION,,
254900ZEFON2JE2HO751,Wanigas Credit Union,,
549300EM6UG8HE3P8U74,PATELCO,,
549300BTTIQWNC2CFA21,LGE COMMUNITY,,
549300FGGERPRKXH7V65,AVADIAN,,
549300N2WLRT93GILZ87,HARVESTER FINANCIAL CREDIT UNION,,
549300D15L4ETR8E9517,Heritage South Credit Union,,
549300EBDJ0OSO5L7O79,"ASSOCIATED SCHOOL EMPLOYEES CREDIT UNION, INC.",,
5493004K0Z4RFJSPYT52,CONSUMERS COOPERATIVE CREDIT UNION,,
254900NZESTDEJZDVW90,Icon Credit Union,,
549300WOJH0MSG0OIM41,Alabama One Credit Union,,
549300CKKPTDS03YHG30,FIRST TRUST,,
5493007NQFYTLJ0O4M47,DECATUR EARTHMOVER CREDIT UNION,,
254900378RFGMBEKAF12,Deere Employees Credit Union,,
549300TWLXP5O4IHG211,Southeast Financial Credit Union,,
549300K7224BC1IAX207,MIDFLORIDA,,
549300HVW3AI97UKTO72,WINGS FINANCIAL,,
5493007MURRUYDI58M87,HALLCO COMMUNITY CREDIT UNION,,
549300LUSWY3HVRZHF54,CENTRAL MINNESOTA Credit Union,,
5493000321W4GKLZ1Y10,MOBILITY Credit Union,,
549300TE5E6DWAI74K71,GEORGIA UNITED,,
549300BDFK1ZR5QSYO15,TEXELL Credit Union,,
549300MTM9IK3YSBEY34,OUR COMMUNITY CREDIT UNION,,
5493000WHZJS0P50EV88,ENTRUST FINANCIAL CREDIT UNION,,
549300PMVNBERP6TB157,ONE NEVADA CREDIT UNION,,
549300CPM35KXH0BZ823,NAVY ARMY COMMUNITY CREDIT UNION,,
549300N6Q6IC190UPB76,DENVER COMMUNITY,,
5493001I1D0A17QPR478,DOCO,,
549300A03BP6F4DI7N56,GCS,,
549300QWWDI5EBFCNL02,FAMILY SAVINGS,,
549300JWMTKHFOXRS523,BLUE EAGLE CREDIT UNION,,
5493007XQ4LU452LQJ67,COMMUNITY FINANCIAL CREDIT UNION,,
5493003KK3OFPYXHCI44,LAFCU,,
549300LDBCZGR7DW6211,THE SOUTHERN Credit Union,,
254900LSUA7OOX54X398,HAR-CO Credit Union,,
549300QGO7S838JDBC47,CORNERSTONE COMMUNITY FINANCIAL,,
549300HO5ZZCX2Z8V467,FIVEPOINT CREDIT UNION,,
549300AZBM8V8SE0IT33,"PARK COMMUNITY CREDIT UNION, INC.",,
549300TOOOOW36EX6R40,Suncoast Credit Union,,
5493009YUAJW70SG7L54,FINANCIAL PLUS CREDIT UNION,,
549300QFE7UAEZ8Q4U55,PARK SIDE FINANCIAL,,
549300QDGMFASKEN7Z77,SPIRE Credit Union,,
5493000KTY8YQ4SFHT59,COASTHILLS,,
549300CZ8E0HMCONIY33,MILL CITY CREDIT UNION,,
5493006RLJ90VH94SV71,MEMBERS CHOICE FINANCIAL CREDIT UNION,,
254900Z8J5L9POS71X51,Oregon State Credit Union,,
549300XUMML1SMLTVQ62,NUTMEG STATE FINANCIAL,,
549300GYDLDVRYKJ3N02,FINANCIAL CENTER FIRST CREDIT UNION,,
549300TYBI78RNWPFB28,AMERICAN EAGLE FINANCIAL CREDIT UNION,,
549300HH0V8LECLNPQ26,ROGUE,,
549300YSLPB4FWL34Z59,MEMBERS HERITAGE Credit Union,,
549300DRZGISDSL1BX02,FINEX CREDIT UNION,,
5493003BXKRGHQHRJV38,ITHINK FINANCIAL Credit Union,,
549300Z2FPZZD55OG155,UNION SQUARE,,
254900ARL5FDX2OOH702,"Superior Credit Union, Inc.",,
549300OCBGBM6IS0J130,TRANSCEND,,
549300VPYRW4D9VH0G53,SOUTHPOINT FINANCIAL,,
549300PUF6BDR1QRB167,1ST NORTHERN CALIFORNIA,,
549300E34W6TNRG7B624,OREGONIANS CREDIT UNION,,
549300AUL77A8UKADB04,ROBINS FINANCIAL,,
6GK3WNTSHBNJOVP1LV97,Ent Credit Union,,
549300SQ2G271NHKJQ07,CRANE,,
5493003T62KDXQ6J4W58,SOUTHEASTERN Credit Union,,
549300B6S67QUY869538,SMW Financial Credit Union,,
254900CDUILFTCPB7H89,Kellogg Community Credit Union,,
549300WJVATE8FMFMR49,ADVANTAGE ONE Credit Union,,
549300T7QCXC3PXO0W07,AMPLIFY,,
2549000PNXYVRN44TV91,My Community Credit Union,,
549300512TZWD1YUA619,Coosa Valley Credit Union,,
549300PM3R14MRQSOJ39,MIDWEST MEMBERS Credit Union,,
549300BFT56DKVQ9BL15,CENTRICITY Credit Union,,
549300LFCGLCYQ1SAJ07,Baylands Family Credit Union,,
254900XIJWVBUNAUBG18,Rock Valley Credit Union,,
254900L3N47KFV5KSJ32,Financial Trust,,
5493007ZNQ6MSZ2J3966,PEOPLE FIRST,,
549300SP39BCL43JUN40,CHATTANOOGA AREA SCHOOLS FEDERAL CREDIT UNION,,
254900B8J6EBK88F0812,VAPR Federal Credit Union,,
549300KF8J8D4LYT7013,CENTRAL MAINE FEDERAL CREDIT UNION,,
549300ZE5N7SFL05BW25,Northern Hills Federal Credit Union,,
254900LEJ4HP6RMWD374,Abound Federal Credit Union,,
2549009M5QY5LPV18B47,Great Basin Federal Credit Union,,
549300VGZHXNY2T0G559,SUN Federal Credit Union,,
54930015EUQKUCIRBQ14,METRO CU,,
549300S8TEY5RFIBTE30,Cheney Federal Credit Union,,
984500A1A8A91F8C4M93,Oklahoma Federal Credit Union,,
549300R22XCNNGVXRO22,SELF RELIANCE NY Federal Credit Union,,
549300DYB1ZT3UOGPL20,PHILADELPHIA,,
5493006IZV5N1QXJNG33,UNITED BUSINESS & INDUSTRY,,
5493003IFQ2Y89ZUY019,PHEPLE,,
549300EZHVOHDWG07M20,PIMA Federal Credit Union,,
254900KMMJNL0IJNSM73,CARIBE FEDERAL CREDIT UNION,,
549300XZ4R55J9UKB235,SELFRELIANCE,,
254900XZCT60J2G3HK85,Blue Federal Credit Union,,
254900R8RQ7UOD00O702,Columbus Metro Federal Credit Union,,
549300E1PJPTI4YS7H26,ASCEND FEDERAL CREDIT UNION,,
254900JSR03JVTTZ6039,United Community Federal Credit Union,,
549300N3HTAM5X2VWB62,WHITE CROWN FEDERAL CREDIT UNION,,
5493003KBJMVUE7RQO90,1ST ADVANTAGE FEDERAL CREDIT UNION,,
549300HQL7U3JZ4LCJ17,"MORTGAGE MARKETS CUSO, LLC",,
549300G6RZM5T8NQJW74,REDSTONE Federal Credit Union,,
549300N7MKAZNGCKT625,HARRIS COUNTY FEDERAL CREDIT UNION,,
549300Y6017C6OJWS030,GLENDALE FEDERAL CREDIT UNION,,
254900WQ6O9JA8WI5W89,Dort Financial Credit Union,,
549300MTZQME2DHKE115,ARLINGTON COMMUNITY,,
549300LNFFMJM1GR5C72,CREIGHTON FEDERAL CREDIT UNION,,
549300ESNLIWVN3TK065,CBC Federal Credit Union,,
25490010UA3IZPDO2Q49,Westport Federal Credit Union,,
549300FHTPSIK7LBKD38,PARTNERS 1ST Federal Credit Union,,
549300VTMXH07KUIB722,SERVICE FIRST FEDERAL CREDIT UNION,,
5493002PPPIVY6G0AH03,COMMUNITY RESOURCE FEDERAL CREDIT UNION,,
549300ZOKUKS0Z7C3X31,360 Federal Credit Union,,
549300OTNSBY6RS8HU51,CASCADE FEDERAL CREDIT UNION,,
549300MPGZVO0YIGL418,IDAHO STATE UNIVERSITY,,
5493002P2P2WON3W9P39,Innovations Federal Credit Union,,
549300TLZZVTKOFCYG61,BAY RIDGE FEDERAL CREDIT UNION,,
549300JHTLVWPG2KFL33,SEA AIR FEDERAL CREDIT UNION,,
5493001FMENBK31GGQ69,SCE FEDERAL CREDIT UNION,,
549300VXXDSMSH313G18,Truliant Federal Credit Union,,
54930007EJ1IS7U47Q27,UNIVERSAL Federal Credit Union,,
549300SENIFFLVGUHE44,FIRST FLIGHT FEDERAL CREDIT UNION,,
254900Y4QCRHFQOGEU34,Ukrainian Selfreliance Federal Credit Union,,
54930027GUR70U427Y19,Campus Federal Credit Union,,
549300J6A8R0TUC01239,NECHES,,
549300P6D12TWGGIV170,GREAT ERIE,,
5493008YRTIU0FNCTY07,TRI BORO,,
549300N53R53ZHSNZ234,White Sands Federal Credit Union,,
5493008LTXJSUQBJKO24,AFL CIO EMPLOYEES FEDERAL CREDIT UNION,,
254900CCA1QSI5J1ZY32,Space Age Federal Credit Union,,
549300H6J0XZXQGKDW16,U.S. EAGLE,,
254900JU5OLW9ZB5C595,New Cumberland Federal Credit Union,,
549300LU6Y2TXG48QY48,RANDOLPH-BROOKS,,
549300R8VPSFM828B312,TEACHERS,,
549300HOWLXD5W5EK468,Air Force Federal Credit Union,,
549300FJHIE3T5GJRI39,AMERICAN UNITED FAMILY OF CREDIT UN,,
549300GMXZWXNOS1US34,FIRST ATLANTIC FEDERAL CREDIT UNION,,
254900ZW2DR74NU0ZY74,"Texas Mortgage Lending, LLC",,
549300YU5FXUC05UXI34,GLENDALE AREA SCHOOLS CREDIT UNION,,
549300MUTFJQGRZJH019,CENTRAL ONE FEDERAL CREDIT UNION,,
549300TJMPSMO4XCL284,TECHNICOLOR Federal Credit Union,,
5493004HIVU0YCM5QS92,INTERRA CREDIT UNION,,
254900WJGWD3H4OFK051,The People's Federal Credit Union,,
254900G9IPJDT4OZYN57,Marshland Credit Union,,
54930080168VA6Z8UX21,TOWER,,
5493006CXHXIFN8Q4S89,KBR HERITAGE,,
549300EWGL0JGA62YY67,ADVANTAGE PLUS,,
549300BKCQISE9PR4J88,TOWN & COUNTRY FEDERAL CREDIT UNION,,
254900O86JRT86YLQO47,Seasons Federal Credit Union,,
2549000BG2198NFS0K59,Freedom of Maryland Federal Credit Union,,
549300C5JF1UNQK9KC45,FIRST FINANCIAL OF MARYLAND,,
5493004UNRG4PWDF2K60,AFFINITY,,
549300S63J8KM7BY5617,GENCO Federal Credit Union,,
549300ZPDM0WYNSCLI93,MCGRAW HILL FEDERAL CREDIT UNION,,
549300RUF3KS47ETXV22,CAPITAL COMMUNICATIONS Federal Credit Union,,
549300VFL91481SLWI91,CP Financial Credit Union,,
254900DYDZ158KQYBD95,Marriott Employees' Federal Credit Union,,
549300V56OLT434ILO42,NIAGARA'S CHOICE,,
2549005WP4EISHQKDS45,Singing River Federal Credit Union,,
549300BOONATEIE9GC38,1ST COMMUNITY FEDERAL CREDIT UNION,,
549300PVS7DLMY766R09,MIAMI FIREFIGHTERS FCU,,
549300VEXSWLQB1TM843,COLORAMO,,
549300TTPRGSP8DGY569,WRIGHT PATMAN CONGRESSIONAL FEDERAL CREDIT UNION,,
549300QZED00YTPAWQ69,GREATER NEVADA LLC,,
5493006B4YBR7ZSB3G86,BLAIR COUNTY,,
254900LNRKOG7TRURB32,Ukrainian Federal Credit Union,,
549300V0B2PZ5XF4SB58,BILLINGS,,
549300167EZ5P8B06R34,SUNBELT Federal Credit Union,,
549300AKQUNB6HFB7W73,SEBASTICOOK VALLEY Federal Credit Union,,
549300BHPLBG0CXKTL06,Clearview Federal Credit Union,,
5493008Q2ZM3OTLTQH25,Direct Federal Credit Union,,
5493004JDNBZNOT8PR69,WYHY,,
5493003B2LEGQHDWRN55,HANSCOM,,
549300CYXW7LD00YCQ70,PINAL COUNTY,,
549300VNVP1PTYHESA41,CLASS ACT FEDERAL CREDIT UNION,,
549300I8D8TQDQWQAO82,FAMILIES AND SCHOOLS TOGETHER FEDERAL CREDIT UNION,,
5493002Z4GZF8C2F3T27,STAR USA FEDERAL CREDIT UNION,,
549300Y37WHI3S8KVE74,MERCED SCHOOL EMPLOYEES FEDERAL CREDIT UNION,,
549300F31BRGTXAIJP69,B-M S FEDERAL CREDIT UNION,,
5493007KYI3BO5LTXF79,Meridian Trust Federal Credit Union,,
549300CKG3JGNHH34D61,CARTER FEDERAL CREDIT UNION,,
2549005BWLPEBQA7QJ63,Ohio Catholic Federal Credit Union,,
5493001QMUDK2ML5S840,Neighbors Federal Credit Union,,
549300WXO2FZYE7KAW26,CERTIFIED,,
549300C1SBZVJTL6WB07,RUTGERS,,
549300OP314BNT2VUU11,PIONEER,,
254900UQIE22KBNLG837,River City Federal Credit Union,,
549300OHIEQGELZVJP60,L & N Federal Credit Union,,
549300DJS1VMO4NUS123,Cooperativa A/C de Arecibo,,
5493004UNJQCCNMHSR95,LOWER COLUMBIA LONGSHOREMEN,,
549300KZVCKCUN23YY80,CONSOLIDATED,,
254900EHOJ91PS23E696,Yolo Federal Credit Union,,
549300IS603VHWV5ZJ45,SUN COMMUNITY FEDERAL CREDIT UNION,,
549300C5503CI7DSIP33,Bossier Federal Credit Union,,
254900VVCX7PR9KDCK83,CASCO,,
549300SJYSEN2J8N3I32,KATAHDIN Federal Credit Union,,
54930083D8Q8RK84Y448,"America's Credit Union, A Federal Credit Union",,
54930040I855W2FI0Y80,APL,,
5493007B1GAUZGYHPR07,NUSENDA,,
549300RA8E6JQC2S7K66,SCHOOL SYSTEMS,,
549300U3NIUGN9OO4407,CUMBERLAND COUNTY,,
549300VZCSVVY5P73G51,Community Star Credit Union,,
549300K8VD6YVQ5DNH84,YORK COUNTY FEDERAL CREDIT UNION,,
549300L2GYX02MQSZD07,"OHIO EDUCATIONAL CREDIT UNION, INC., THE",,
549300MVSM4XYFQL3X62,BARKSDALE,,
549300H0B8QZSS10X971,FIRST HERITAGE FEDERAL CREDIT UNION,,
5493005T71YXBHEO2093,Credit Union 1,,
5493002QP2ONO47G5R24,APCI Federal Credit Union,,
254900QSYPZJ7UL0PC48,FAA Federal Credit Union,,
254900X0TX3C9HCMKT80,SOUTHWEST FEDERAL CREDIT UNION,,
549300333JQWIP8NLK67,MERITUS Federal Credit Union,,
549300M9RHNQ4107R694,GOLD COAST FEDERAL CREDIT UNION,,
549300BY8DZPEK4ZR022,"CARDINAL CREDIT UNION, INC.",,
549300KCWMM5PJHWO653,"AURGROUP FINANCIAL CREDIT UNION, INC.",,
549300CG5TM73650DH84,Christian Community Credit Union,,
549300CLB0CCSJV6S044,SAN FRANCISCO FIRE CREDIT UNION,,
25490007ROE3S0978636,Monterey Credit Union,,
549300WUGYTMN4HIT493,DuPage Credit Union,,
549300WSQPVY1NRH6062,"SILVER STATE SCHOOLS SERVICE COMPANY, LLC",,
549300GV8F4RLYWAB272,MCT Credit Union,,
549300OQHPN4174TOC36,SAFEAMERICA CREDIT UNION,,
549300YHSRT5YOR5W454,Alliance Credit Union,,
549300OZV7J05G72WS11,"IH CREDIT UNION, INC.",,
549300B0SOOJLUT6U297,United Texas Credit Union,,
254900WQCRCK13A7DC81,Fortera Federal Credit Union,,
254900ZHQ3HT9DN8GB42,Eglin Federal Credit Union,,
5493006SSMPNYY3P8424,FIDELIS CATHOLIC,,
2549005T4NUXGTZTUE50,McCoy Federal Credit Union,,
5493009FTGT1RX4J7Y04,Solidarity Community Federal Credit Union,,
549300FOCEH0X0ZOR362,Grow Financial Federal Credit Union,,
54930024QEEW6YDTWZ98,REV FEDERAL CREDIT UNION,,
549300BLQQL5GPC6OJ66,SAFE FEDERAL CREDIT UNION,,
549300RU0T31BIA8UR19,"NEW WEST LENDING, INC.",,
54930067KY3OO1D8HC58,ASSOCIATED MORTGAGE CORPORATION,,
549300VQSHPYTNCOP496,"LYONS MORTGAGE SERVICES, INC.",,
549300IGSWBIHAL67063,"RESIDENTIAL MORTGAGE SERVICES, INC.",,
254900FSIRD1E5MR0U30,RMS & Associates,,
549300T3ZIPMLYDHGG12,"CORNERSTONE MORTGAGE, INC.",,
54930041L7ZI432VT094,"TUCKER MORTGAGE, LLC",,
549300MEMWF0Y8H4PL17,"OCWEN LOAN SERVICING, LLC",,
549300E2UX99HKDBR481,"BROKER SOLUTIONS, INC.",,
549300TKFZR4QBNE5D40,"1ST SIGNATURE LENDING, LLC",,
549300VMX06UV1F7NS76,"SUCCESS MORTGAGE PARTNERS, INC.",,
5493008I5A5R6730MQ84,"SECURITY HOME MORTGAGE, LLC.",,
549300YPBBHUEKV1YC68,"CITY FIRST MORTGAGE SERVICES, L.L.C.",,
254900V6GCDMRQZ34D96,Luxury Mortgage Corp.,,
54930020YWIK7HGH2R34,"SFMC, LP",,
549300TDRENNEZ2S6M03,THE MONEY HOUSE INC.,,
549300VGMMXKSX821O69,"HARTFORD FUNDING, LTD.",,
549300IL3HLQ2SW5VN73,"ASSOCIATED MORTGAGE BANKERS, INC.",,
549300HTMO7FGRKRLV06,"CLIFFCO, INC.",,
549300E4YLQ3BVQ4GW30,"WALL STREET MORTGAGE BANKERS, LTD.",,
5493005ICQ3QGEIWV618,UNITED MORTGAGE CORP.,,
54930039IUN6515TBG78,US MORTGAGE CORPORATION,,
5493003X6Y6JGJKHPA25,"INTERSTATE HOME LOAN CENTER, INC.",,
549300JOT0D4J0SZIK67,THE MONEY SOURCE INC.,,
549300LI3FDGO7UKFF39,East Coast Capital Corp.,,
549300WH9FMXOC63ZV77,NATIONWIDE EQUITIES CORPORATION,,
549300M8DR00HTG3MF34,ACADEMY MORTGAGE CORP.,,
549300GT860C7IVCPZ04,DYBN FINANCIAL CORP.,,
549300TUQC6OYE8A0Y96,"PACIFIC RESIDENTIAL MORTGAGE, LLC",,
549300TZUUEG8RUJI536,LHM FINANCIAL CORPORATION,,
549300PTGESTLYZT6Z63,FEDERATED LENDING CORPORATION,,
549300XAHXRVSRML8V19,"DIRECT MORTGAGE, CORP.",,
25490018IFQOT83Q7H49,GSF Mortgage Corporation,,
549300Q6YL1SFVPEGV90,"INTELLILOAN, INC.",,
5493006VSECR4GWFB307,Home Point Mortgage Acceptance Corporation,,
5493009KSPF2426CPQ08,CROWN MORTGAGE COMPANY,,
549300EJUYKQ4JF2V408,GULF ATLANTIC FUNDING GROUP I,,
254900ZPR9P3OI95VG04,"CONTINENTAL MORTGAGE BANKERS, INC.",,
549300DKR45F0W1GO839,"HUNT MORTGAGE CAPITAL, LLC",,
549300QPD4M26VIOFU53,SUMMIT MORTGAGE BANKERS INC.,,
254900P6Q7UI8DAKYX49,GuardHill Financial Corp.,,
54930030Z1JWTP3SVD16,"TOP FLITE FINANCIAL, INC.",,
549300CD76YM6Y3IZ451,360 MORTGAGE GROUP LLC,,
C4BXATY60WC6XEOZDX54,"MetLife, Inc.",,
549300FMSW7QU9K8BB98,LAKE MORTGAGE COMPANY INC,,
549300J7XKT2BI5WX213,"CALIBER HOME LOANS, INC.",,
549300D6BCLQFX6G1K95,THE EQUITABLE MORTGAGE CORPORATION,,
549300S347HTLHLOC775,"FIRST CREDIT CORPORATION OF NEW YORK, INC.",,
549300T3F9S1MKFKHC53,HOMESTEAD FUNDING CORP.,,
54930048P8RWCQHQM310,ARC HOME LLC,,
549300RYBJHWWDENV610,Alcova Mortgage LLC,,
549300E8HNQO52YYHI82,American Security Mortgage Corp.,,
549300GCEUZLVML1J263,RADIUS FINANCIAL GROUP INC.,,
549300V8CF81JGIV7038,"COMPASS MORTGAGE, INC.",,
549300G2LV8W3C1G3762,"EQUITY RESOURCES, INC.",,
5493008TO7JB5Q4IKZ94,HUNT MORTGAGE CORPORATION,,
549300JVYWDXYVB8EM70,FFC Mortgage Corp.,,
254900XN7UWEWK13RO81,Premium Mortgage Corporation,,
549300J6N77Q8OHYNF23,"ENVOY MORTGAGE, LTD",,
254900PCN2EQDRMIHV68,Mortgage Investment Services Corporation,,
549300N3JBQ15RQ7AV97,"MORIA DEVELOPMENT, INC.",,
549300MMQJ2MM37FDE66,"FRONTIER FINANCIAL, INC.",,
5493005XCKCOIX4JMI33,RESIDENTIAL HOME FUNDING CORP.,,
54930063578UDYE3JR69,POLARIS HOME FUNDING CORP.,,
254900JMPUH6DCQM3W65,"Christensen Financial, Inc.",,
549300ZAZI235VM8Q149,"JAMS-01, INC.",,
5493005LX4EJUYP1G119,"PRIVATE MORTGAGE ADVISORS, LLC",,
549300S93XI20FLTGK89,"Aurora Financial, LLC",,
549300QUX3LK82LO3013,"LIBERTY HOME EQUITY SOLUTIONS, INC.",,
549300VCMRO4ST680C11,VILLAGE CAPITAL & INVESTMENT LLC,,
549300FW5QWKDV0UY394,"PRYSMA LENDING GROUP, LLC",,
549300S5YL3OH0IVCS62,FINANCE OF AMERICA REVERSE LLC,,
549300TM179TSKK3HQ94,"THRIVE MORTGAGE, LLC",,
549300LDVDAIKBVCY905,TRIDENT MORTGAGE COMPANY LP,,
549300NJVKCDJA5YC939,"HOMEOWNERS FINANCIAL GROUP USA, LLC",,
549300WGEJKXK5PPHT03,"HOMESITE MORTGAGE, LLC",,
5493006EODCF96VQNK28,"PREMIER HOME MORTGAGE, INC.",,
549300TA4MQM8WN2XG31,"VELOCITY COMMERCIAL CAPITAL, LLC",,
5493007BX4I89K17ZM64,"ALL REVERSE MORTGAGE, INC.",,
549300QGLK6W51MPXW45,"BARTON CREEK LENDING GROUP, LLC",,
549300I1SRE27DRI6H56,"S.W.I. Financial Services, Inc.",,
549300H12E7AUMUHP294,"FIRST ALLIANCE HOME MORTGAGE, LLC",,
549300DE8TS4EYTPX729,"AFFORDABLE MORTGAGE ADVISORS, LLC.",,
549300TINI6CL78UD591,AMERICAN ADVISORS GROUP,,
549300SM9GB26JECOA70,NEIGHBORHOOD MORTGAGE LLC,,
5493005OOIYF660YQO46,RESIDENTIAL HOME MORTGAGE CORPORATION,,
549300YQJU3WVKMRXR40,"PATRIOT ONE MORTGAGE BANKERS, LLC",,
549300X973YPKT8V0H73,"1ST ALLIANCE LENDING, LLC",,
5493008XQDQ2YZPQKX53,"PROVINCE MORTGAGE ASSOCIATES, INC.",,
549300DMIVL13D62WX91,"InterContinental Capital Group, Inc",,
254900O723MCLR701H50,"Neighborhood Loans, Inc.",,
549300OYEKEORA1GI088,"GoPrime Mortgage, Inc.",,
549300GUS13Z72B6KD63,"KELLER MORTGAGE, LLC",,
549300BFJ8COFCPOMU05,SOVEREIGN LENDING GROUP INCORPORATED,,
549300KT5OWPGQKWUN86,"Semper Home Loans, Inc.",,
54930052808NIU3KIW97,"DIRECT LENDERS, LLC",,
549300OH0GCHTF3S7J46,CHOICE LENDING CORP.,,
549300UB5TJ0YPVPT503,MASON MCDUFFIE MORTGAGE CORPORATION,,
549300ANGNMQ8TDQAZ27,"SUNSTREET MORTGAGE, LLC",,
549300B4IYL7TZT8FA34,"PREMIER MORTGAGE RESOURCES, L.L.C.",,
549300LXKO1O7CSK5J52,"FLAT BRANCH MORTGAGE, INC.",,
549300RDSL2X3NXE5U60,"Live Well Financial, Inc.",,
549300JRDGV1559XM376,"CASTLE & COOKE MORTGAGE, LLC",,
549300QNSC8YFY70QR51,"Atlantic Home Lending, Inc.",,
549300PX0B48R1TGUV89,"JFK Financial, Inc.",,
549300JI0UWY4QIWDV89,"NORTHPOINT MORTGAGE, INC.",,
5493005JPZ3LXXMB0S24,"FBC MORTGAGE, LLC",,
549300L3O89DECR4DV44,FUNDING RESOURCES MORTGAGE CORPORATION,,
5493005T6ET3508ZXP66,"PINNACLE LENDING GROUP, INC.",,
5493002BHZ2N82ENVH10,"Lend Smart Mortgage, LLC",,
2549005Q4HZ55QX7YC64,"Watermark Capital, Inc.",,
549300EKCKDF80ZM4V51,COLLIERS MORTGAGE LLC,,
5493005LE3FE2MIPPW66,"COAST 2 COAST FUNDING GROUP, INC.",,
549300VSL5DFXBM1II56,F&B Acquisition Group LLC,,
254900213F9YWHNVOO69,"CapGrow Home Mortgage, LLC",,
549300QU7HWSPH011Y56,"LENDUS, LLC",,
549300OV8NE5ZPEPMF52,"CELEBRITY HOME LOANS, LLC",,
549300UBBL6SBU8CM396,"MUSA Financial, LLC",,
549300QRLVIA94OVXY15,"AMERICAN HOMESTAR MORTGAGE, L.L.C.",,
549300YIOSILVWW8FH16,BRIDGELOCK CAPITAL,,
549300ESJ15K604ZW846,"CORNERSTONE MORTGAGE PARTNERS OF TEXAS, L.P.",,
5493005PKOSG7MYX0B34,"Prosperity Home Mortgage, LLC",,
549300CK7U1WMTIG6687,HighTechLending Inc,,
549300VN6R2RF61VB858,INTEGRITY FIRST FINANCIAL GROUP,,
2549007ZL90U2M5ZNA78,United Fidelity Funding Corp.,,
5493001K7B4W8IPMZ254,First Standard Financial Corp.,,
254900VXX8ZL7L9EX282,"Philadelphia Mortgage Advisors, Inc.",,
549300MRKCITL213FV37,GENEQUITY MORTGAGE,,
549300OFI1WD07JPI032,SILVERMINE VENTURES LLC,,
549300KOAKQX3BEWWT56,"CLM MORTGAGE, INC",,
254900ACUWEGW702BR80,"FM Home Loans, LLC",,
549300FJJQP6TUP5U107,Dominion Capital Mortgage Inc.,,
549300JKR164SLNO6Y85,"NATIONS RELIABLE LENDING, LLC",,
5493005G8JO0PPI0HN36,"THE MORTGAGE WAREHOUSE,LLC",,
254900E6AIE4Z8YQM970,Citadel Servicing Corporation,,
5493008R6KUI4KIER222,Leading Mortgage Solutions,,
549300FVD3YHE65PKH97,"PANORAMA MORTGAGE GROUP, LLC",,
549300QCYEU2QLIWN517,LEGEND LENDING CORPORATION,,
5493008WOGGD8641UC13,"CAPSTONE DIRECT, INC.",,
549300MFY0P4D234OB91,HOMESPIRE MORTGAGE CORPORATION,,
5493009F6BJDCZMZ7Y26,"MORTGAGE FINANCIAL SERVICES, LLC",,
549300QKL5FUBZ8LSF50,"NATIONS DIRECT MORTGAGE, LLC",,
549300HD2NONVMCRN332,"HALLMARK HOME MORTGAGE, LLC",,
549300CN50N3250U7V79,"PERFORMANCE EQUITY PARTNERS, INC.",,
549300Z4DV0VEDFHP667,"CRESTMARK MORTGAGE COMPANY, LTD.",,
549300R9S3MVDV4MGF56,"Carrington Mortgage Services, LLC",,
549300MU3SP76R81WW62,"COMMUNITY MORTGAGE, LLC",,
549300V1JRN7CMTCF305,"First Mortgage Solutions, LLC",,
549300EHQ0Y7SP41BR91,"ATHAS CAPITAL GROUP, INC.",,
549300BRJZYHYKT4BJ84,HOME POINT FINANCIAL CORPORATION,,
549300I43XQ9YFW0LV16,"GROUP ONE MORTGAGE, INC.",,
54930063WFKRLF7YW250,"CUSO Mortgage, Inc.",,
254900K3H3XMRQNU9F32,"OVM FINANCIAL, INC.",,
